Date,Close
3/3/2015 16:00:00,25.62
3/4/2015 16:00:00,25.19
3/5/2015 16:00:00,25.3
3/6/2015 16:00:00,23.3
3/9/2015 16:00:00,22.42
3/10/2015 16:00:00,21.77
3/11/2015 16:00:00,22.24
3/12/2015 16:00:00,22.29
3/13/2015 16:00:00,22.3
3/16/2015 16:00:00,22.3
3/17/2015 16:00:00,22.12
3/18/2015 16:00:00,22.87
3/19/2015 16:00:00,22.82
3/20/2015 16:00:00,22.95
3/23/2015 16:00:00,23.14
3/24/2015 16:00:00,22.86
3/25/2015 16:00:00,22.48
3/26/2015 16:00:00,22.16
3/27/2015 16:00:00,22.23
3/30/2015 16:00:00,22.02
3/31/2015 16:00:00,21.71
4/1/2015 16:00:00,22.72
4/2/2015 16:00:00,22.34
4/6/2015 16:00:00,22.58
4/7/2015 16:00:00,22.17
4/8/2015 16:00:00,22.08
4/9/2015 16:00:00,22.23
4/10/2015 16:00:00,22.33
4/13/2015 16:00:00,22.57
4/14/2015 16:00:00,22.82
4/15/2015 16:00:00,23.55
4/16/2015 16:00:00,23.62
4/17/2015 16:00:00,23.57
4/20/2015 16:00:00,23.52
4/21/2015 16:00:00,23.51
4/22/2015 16:00:00,22.77
4/23/2015 16:00:00,23.45
4/24/2015 16:00:00,24.98
4/27/2015 16:00:00,25.59
4/28/2015 16:00:00,26.35
4/29/2015 16:00:00,26.48
4/30/2015 16:00:00,26.49
5/1/2015 16:00:00,26.49
5/4/2015 16:00:00,26.05
5/5/2015 16:00:00,25.95
5/6/2015 16:00:00,25.65
5/7/2015 16:00:00,25.82
5/8/2015 16:00:00,26.04
5/11/2015 16:00:00,26.36
5/12/2015 16:00:00,26.65
5/13/2015 16:00:00,27.31
5/14/2015 16:00:00,27.2
5/15/2015 16:00:00,27.69
5/18/2015 16:00:00,27.55
5/19/2015 16:00:00,27.05
5/20/2015 16:00:00,27.66
5/21/2015 16:00:00,27
5/22/2015 16:00:00,27.01
5/26/2015 16:00:00,26.55
5/27/2015 16:00:00,27.03
5/28/2015 16:00:00,27.47
5/29/2015 16:00:00,27.24
6/1/2015 16:00:00,27.17
6/2/2015 16:00:00,26.95
6/3/2015 16:00:00,26.38
